,title_name,match_id,match_id_platform,platform_name,program_type,target,pred_day,prediction,smape,mae,fold
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,1e-10,-27,1.2454730464069144,1.999999999678837,1.2454730463069144,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,1e-10,-26,1.017957998661975,1.9999999996070565,1.0179579985619749,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,1e-10,-25,1.0136335576481197,1.99999999960538,1.0136335575481197,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,1e-10,-24,1.0132407677013824,1.9999999996052271,1.0132407676013824,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,1e-10,-23,1.0127342451692478,1.9999999996050297,1.0127342450692478,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,1e-10,-22,1.0125841310943822,1.999999999604971,1.0125841309943822,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,1e-10,-21,1.0099432720879473,1.9999999996039382,1.0099432719879473,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,1e-10,-20,1.0098170807021236,1.9999999996038886,1.0098170806021236,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,1e-10,-19,0.9938905399896609,1.9999999995975413,0.9938905398896609,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,1e-10,-18,0.9969892010822161,1.999999999598792,0.9969892009822161,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,1e-10,-17,0.9907732064178552,1.999999999596275,0.9907732063178551,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,1e-10,-16,0.9925879979115273,1.999999999597013,0.9925879978115273,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,1e-10,-15,0.9877409082396746,1.9999999995950355,0.9877409081396746,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,1e-10,-14,0.9854422918629706,1.999999999594091,0.9854422917629706,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,1e-10,-13,0.9851741067802862,1.9999999995939803,0.9851741066802862,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,1e-10,-12,0.9847167720953856,1.9999999995937918,0.9847167719953855,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,1e-10,-11,0.9844816888251791,1.9999999995936948,0.984481688725179,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,1e-10,-10,0.9831780295833652,1.999999999593156,0.9831780294833652,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,1e-10,-9,0.985068269813864,1.9999999995939368,0.985068269713864,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,1e-10,-8,0.9840231578453427,1.9999999995935054,0.9840231577453427,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,1e-10,-7,0.9818558054586162,1.999999999592608,0.9818558053586162,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,1e-10,-6,0.9815832704967131,1.999999999592495,0.9815832703967131,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,1e-10,-5,0.9812802363311559,1.9999999995923692,0.9812802362311559,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,1e-10,-4,0.9809162301623524,1.999999999592218,0.9809162300623524,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,1e-10,-3,0.9791298569178779,1.999999999591474,0.9791298568178779,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,1e-10,-2,0.9788686814821248,1.9999999995913649,0.9788686813821248,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,1e-10,-1,0.9786574584288328,1.9999999995912767,0.9786574583288328,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,1e-10,0,0.97822497971938,1.999999999591096,0.97822497961938,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,9.999999999999996e-11,1,9.768473544687274e-11,0.023423807082458815,2.315264553127227e-12,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,9.999999999999996e-11,2,9.992852784372037e-11,0.0007149770675595219,7.147215627959769e-14,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,9.999999999999996e-11,3,9.633793906195585e-11,0.03730365058877927,3.662060938044118e-12,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,9.999999999999996e-11,4,9.5952866037191e-11,0.04130721887008112,4.047133962808966e-12,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,9.999999999999996e-11,5,1.0060314957049364e-10,0.006013360924642175,6.03149570493678e-13,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,9.999999999999996e-11,6,9.939762209640154e-11,0.006041976802583912,6.023779035984256e-13,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,9.999999999999996e-11,7,9.870787084893661e-11,0.013005314238867432,1.2921291510633528e-12,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,9.999999999999996e-11,8,1.0329393036290164e-10,0.03240559476637256,3.2939303629016762e-12,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,9.999999999999996e-11,9,1.015419868060008e-10,0.015301891486116088,1.541986806000832e-12,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,9.999999999999996e-11,10,9.866014923657207e-11,0.013488873018335993,1.339850763427899e-12,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,9.999999999999996e-11,11,1.0523220575277217e-10,0.05098815493972765,5.232205752772205e-12,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,9.999999999999996e-11,12,9.912329919561731e-11,0.008805607459540869,8.767008043826579e-13,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,9.999999999999996e-11,13,9.97624111776941e-11,0.0023787140023507412,2.375888223058636e-13,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,1e-10,14,0.027070515398494033,1.9999999852237758,0.02707051529849403,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,1e-10,15,0.007947023522982932,1.9999999496666907,0.007947023422982933,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,1e-10,16,0.0,2.0,1e-10,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,1e-10,17,0.0,2.0,1e-10,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,1e-10,18,0.0,2.0,1e-10,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,1e-10,19,0.0,2.0,1e-10,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,1e-10,20,0.0,2.0,1e-10,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,1e-10,21,0.0,2.0,1e-10,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,1e-10,22,0.0,2.0,1e-10,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,1e-10,23,0.0,2.0,1e-10,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,1e-10,24,0.0,2.0,1e-10,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,1e-10,25,0.0,2.0,1e-10,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,1e-10,26,0.0,2.0,1e-10,2.0
2843,Matchstick Men,GV-BKigrJWcJMwwEAAABi,1-GV-BKigrJWcJMwwEAAABi,1,0,1e-10,27,0.0,2.0,1e-10,2.0
2864,The Aviator,GV1sAaA2CKMLDwwEAAAD7,1-GV1sAaA2CKMLDwwEAAAD7,1,0,1.5396753363823086,-27,1.4882550642905699,0.033963972276451204,0.05142027209173872,2.0
