,title_name,match_id,match_id_platform,platform_name,program_type,pred_day,prediction
9443,A Carol for Another Christmas,GYU51AA2Lro6lwgEAAABh,1-GYU51AA2Lro6lwgEAAABh,1,0,-21,1.2417199328587207
9443,A Carol for Another Christmas,GYU51AA2Lro6lwgEAAABh,1-GYU51AA2Lro6lwgEAAABh,1,0,-20,1.2415815497384322
9443,A Carol for Another Christmas,GYU51AA2Lro6lwgEAAABh,1-GYU51AA2Lro6lwgEAAABh,1,0,-19,1.2259504226009408
9443,A Carol for Another Christmas,GYU51AA2Lro6lwgEAAABh,1-GYU51AA2Lro6lwgEAAABh,1,0,-18,1.2279320263752425
9443,A Carol for Another Christmas,GYU51AA2Lro6lwgEAAABh,1-GYU51AA2Lro6lwgEAAABh,1,0,-17,1.2230174930240567
9443,A Carol for Another Christmas,GYU51AA2Lro6lwgEAAABh,1-GYU51AA2Lro6lwgEAAABh,1,0,-16,1.2240523501237803
9443,A Carol for Another Christmas,GYU51AA2Lro6lwgEAAABh,1-GYU51AA2Lro6lwgEAAABh,1,0,-15,1.2199518410605754
9443,A Carol for Another Christmas,GYU51AA2Lro6lwgEAAABh,1-GYU51AA2Lro6lwgEAAABh,1,0,-14,1.2183201927971015
9443,A Carol for Another Christmas,GYU51AA2Lro6lwgEAAABh,1-GYU51AA2Lro6lwgEAAABh,1,0,-13,1.2180939779662212
9443,A Carol for Another Christmas,GYU51AA2Lro6lwgEAAABh,1-GYU51AA2Lro6lwgEAAABh,1,0,-12,1.2163938829644105
9443,A Carol for Another Christmas,GYU51AA2Lro6lwgEAAABh,1-GYU51AA2Lro6lwgEAAABh,1,0,-11,1.2162011298402922
9443,A Carol for Another Christmas,GYU51AA2Lro6lwgEAAABh,1-GYU51AA2Lro6lwgEAAABh,1,0,-10,1.216254065047691
9443,A Carol for Another Christmas,GYU51AA2Lro6lwgEAAABh,1-GYU51AA2Lro6lwgEAAABh,1,0,-9,1.216269144821807
9443,A Carol for Another Christmas,GYU51AA2Lro6lwgEAAABh,1-GYU51AA2Lro6lwgEAAABh,1,0,-8,1.2152477337409766
9443,A Carol for Another Christmas,GYU51AA2Lro6lwgEAAABh,1-GYU51AA2Lro6lwgEAAABh,1,0,-7,1.2023808659816577
9443,A Carol for Another Christmas,GYU51AA2Lro6lwgEAAABh,1-GYU51AA2Lro6lwgEAAABh,1,0,-6,1.2015175854479812
9443,A Carol for Another Christmas,GYU51AA2Lro6lwgEAAABh,1-GYU51AA2Lro6lwgEAAABh,1,0,-5,1.201261153647974
9443,A Carol for Another Christmas,GYU51AA2Lro6lwgEAAABh,1-GYU51AA2Lro6lwgEAAABh,1,0,-4,1.2009835281947787
9443,A Carol for Another Christmas,GYU51AA2Lro6lwgEAAABh,1-GYU51AA2Lro6lwgEAAABh,1,0,-3,1.1991107583012104
